,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0016847714984597382,0.9983152285015403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0003617197188921042,0.0,0.9996382802811079,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.00015916808149405774,0.0,0.0,0.9998408319185059,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0012031697299091399,0.0,0.0,0.0,0.9987968302700908,0.0,0.0,0.0,0.0
protests,2.9846514300211165e-05,0.0,0.0,0.0,0.0,0.9999701534856998,0.0,0.0,0.0
arrests,0.002622567285831533,0.0,0.0,0.0,0.0,0.0,0.9973679990188957,0.0,0.0
crisis,0.00016244314489928524,0.0,0.0,0.0,0.0,0.0,0.0,0.9998375568551007,0.0
other/anti_socialism,0.00040510431436094796,0.0013165890216730808,0.0,0.0,0.0,0.0,0.0,0.0,0.9981770305853758
