,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,6.218828260014926,0.8648784041923661,7.863794741653312e-25,6.200070841736578e-08,0.06564702331588783,0.26080388344034466,0.00011624197289193948,6.765587236525431e-05,9.684073483783115e-08
assembly,0.0234285778070928,0.0002122729230567197,4.697605810184991e-16,0.01710567829580575,7.433844982895962e-10,0.0027298551613935914,1.883043967122421e-09,2.1046150518000304e-17,7.51566960341457e-13
guaido/legitimate,0.12566735679200094,0.00016480972519570492,0.0005053094114035819,0.27746661287426333,0.03859398560058382,4.622379419368018e-06,0.07181558740947701,5.250047295891255e-10,0.09773171307580523
maduro/legitimate,0.2561796408746924,0.0033372774540890676,5.398573829667218e-24,8.321477925016832e-13,0.9444117515837216,0.07060291917838996,1.0861645022994995e-06,4.1008568323397204e-06,2.658966642661657e-16
protests,1.6232262476977122,5.572370473309045e-06,2.526267285682974e-13,4.662135743345555e-10,7.078526564572357e-08,0.9406652112541198,5.562465289361912e-06,4.619191194964045e-07,1.2648858168156588e-09
arrests,1.8258168721668946,0.00803966933874197,1.1105029286275412e-14,1.179326546240433e-09,0.003609115982588738,0.016593607404682995,0.8210642007744928,0.0007398177131130151,4.613431207142554e-09
crisis,1.4566988996425092,0.014563191216855894,4.896274466694959e-28,6.282514582153627e-10,7.871725506934154e-11,0.11351813318141167,4.7831205857998e-08,0.9697476039527073,0.014818545473585742
other/anti_socialism,0.6670874777993667,0.007194839901790879,2.8967289920137276e-12,5.041329988682952e-09,0.04659329523568379,0.09399667479159986,5.41505799891627e-07,1.4180846879088393e-06,0.8252615892145835
