,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,22.892277916649945,0.8538977715179379,9.727999347974537e-12,2.970045167785702e-09,0.2998543779611743,0.00460687574747701,3.560550952339304e-05,6.466898729317618e-09,9.11357111309962e-19
assembly,0.12574527564221397,0.0007191771105684449,1.1279462687531383,1.9623886527571711e-07,0.0007388007075667852,0.0011848798917800326,1.9987688425470933e-05,1.6823520515608318e-07,0.01672562906897697
guaido/legitimate,1.5750271812324899,0.002123386741767364,0.05877017202015499,0.5418810218722588,1.0866664887110557e-06,0.007177166746270017,0.21645822510046425,4.793045556152876e-10,3.209849557452572e-11
maduro/legitimate,0.21752032519794695,8.9991572575918e-06,0.017680236081436262,0.12016766073580888,0.6549089594935419,0.046283430883315616,0.22127546307306772,1.5044510455369305e-14,3.096849562813816e-10
protests,1.7082711648677218,0.00016077199736112325,0.012692763553638658,0.003631334025541721,0.0001671506392769661,0.8672246031706266,0.038847384315875935,1.9469938200513514e-07,1.9886191165112206e-06
arrests,1.513165019308204,0.00013648607074063994,8.665785657536552e-09,0.003244377528649467,0.006623348665780226,0.2335780140571891,0.7153332006104067,0.00011458165330094135,5.163821421160364e-11
crisis,3.7358323366266686,0.044463499562385884,1.2720252741794348e-44,3.971403169494264e-11,0.4781721593052923,3.750652918309213e-06,0.09373320172573299,0.6286193084340799,1.315870596250172e-26
other/anti_socialism,0.35375713867928443,1.8748000289996682e-05,1.3017503085842198e-11,2.6162519448280537e-05,0.00024713625279611305,0.14855045438021972,0.02223594338694831,1.3996137725001707e-06,0.8474786213714243
