,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0032374133991915715,0.5876151979601212,0.0011654688237089659,0.0,0.0,0.0,0.0,0.0,0.4079695868135527
assembly,0.00048536957426154487,0.0,0.9995146304257384,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.0017111386304540339,0.0,0.0,0.9982641645233332,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0018147791073555265,0.0,0.0,0.0,0.998175768918127,0.0,0.0,0.0,0.0
protests,,,,,,,,,
arrests,,,,,,,,,
crisis,,,,,,,,,
other/anti_socialism,,,,,,,,,
