,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0004241181876016117,0.9995758818123984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
guaido/legitimate,0.024193548387096774,0.0,0.0,0.9758064516129032,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.003683241252302026,0.0,0.0,0.0,0.996316758747698,0.0,0.0,0.0,0.0
protests,0.00031735956839098697,0.0,0.0,0.0,0.0,0.999682640431609,0.0,0.0,0.0
arrests,0.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0
crisis,0.0071146245059288534,0.0,0.0,0.0,0.0,0.0,0.0,0.9928853754940712,0.0
other/anti_socialism,0.0022598870056497176,0.0,0.004519774011299435,0.0,0.0,0.0,0.0,0.0,0.9932203389830508
