,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,20.7444103866214,0.8274381127900962,0.03793561854351268,1.9288400199712095e-13,7.199713918363937e-10,9.00816118016687e-05,1.6921196919940553,0.0004016262055643758,1.6337912253577615e-11
assembly,5.0038284335197485,5.107015737731375e-06,0.9028708492166365,0.0005889497184224285,2.1087892368308283e-06,0.09578105089466805,0.00011630723277926349,2.594674945744002e-05,1.856183361450966e-11
guaido/legitimate,4.142761072088796,9.407928940060232e-07,0.00027914866331149753,0.8483717137491836,0.0001380087670618589,0.14471504673050564,0.09217300719694291,0.0036315124421079305,3.754401088563068e-08
maduro/legitimate,5.6985100029405835,0.00991412216916306,6.4536565449300765e-06,2.16209450287857e-12,0.8718413415105791,6.6012984275562035e-06,0.27914900519558355,0.0011492332278821107,1.4718606570738572e-11
protests,43.473833375955714,8.67735155469003e-09,2.2450849836442643e-16,6.490567369849e-20,0.000155443592631139,0.7056741067063017,1.444428026542026,0.09626837170114551,8.067711664202828e-05
arrests,4.293157330946598,6.483728905455032e-12,3.056593845815629e-18,8.556995047700279e-19,6.570671782242612e-09,2.124100873516754e-05,0.941753336192955,0.0012762504500158803,3.1067973165341034e-09
crisis,12.576207566062346,2.3440163923232143e-08,1.160363803052301e-14,1.2095724178961335e-23,0.0002179405344166653,9.986138849113896e-05,0.39917496936813124,0.8462333874933974,1.6490838328045735e-11
other/anti_socialism,5.68079196798915,5.475342026201326e-07,1.861239608842409e-10,4.877385686764018e-08,4.701197684895215e-09,0.00017563383578075915,0.16726539584200403,6.462713549214897e-06,0.7809001382534896
