,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,1.6177908289254823e-22,,9.937597775102435e-43,107.95424186976778,,0.8558190889613094,3.317282280386584e-24,1.683232999513029e-26,0.06400528064694873,1.2843757721290783e-10,4.764413097569067e-11,5.665081812080155e-39,0.2687956831361745
assembly,9.473652278167907e-15,,1.4948855606438874e-07,140.92313376395788,,4.4247777614888e-09,0.7259556923486985,5.260339014764989e-11,0.30877574690432874,1.4609595023574992e-15,6.245164517412347e-11,1.7943802231827256e-09,2.1283287519130476e-16
guaido/legitimate,4.6248771533043575e-25,,6.321731521191602e-41,254.4886843621912,,0.11919189134214181,6.208427202893944e-11,0.009694677732954475,0.15115756500582936,0.05465771670067081,0.11207891282841226,5.2995089945146785e-25,3.8405765780688026e-11
maduro/legitimate,9.41058378064603e-06,,5.504723531190459e-10,10.273393397621511,,1.7168218983837317e-09,1.1815698045985398e-08,7.951924010958336e-10,1.000713928084562,4.1004602705987097e-07,1.0596923647502869e-13,5.854631072085583e-11,3.871943000661826e-05
protests,0.0009244972400640322,,1.0737374761459295e-07,136.08085018822004,,2.6904834891586404e-06,4.3380681248450815e-08,1.4743117590576574e-05,0.015159587244271544,0.8714089883752284,3.280554741808746e-08,5.2284643961480924e-11,0.00048215081689630834
arrests,6.139812609308881e-37,,1.0904792672061803e-34,9.303707013548495,,0.02245596630186328,7.05996020073621e-51,1.286186637617684e-35,1.7908453705051776e-48,6.205291916220076e-39,0.9622572374146874,2.9005763070068483e-51,6.67245910601495e-06
crisis,2.421935820260205e-34,,7.506371621101045e-32,121.3691781525002,,1.629995678727604e-54,0.0712471400345729,1.058169060240441e-46,0.05230038510710116,2.5436424057345657e-38,1.1346155399971984e-106,0.6652266566728036,1.0050831496715484e-35
other/anti_socialism,8.102939225559702e-07,,2.3972545579173166e-18,6.691625206307919,,1.1186350753234968e-05,8.791064487241327e-13,3.8307285242825975e-10,0.010127943778438687,0.001130213340901867,1.0378478968137752e-09,2.2162448395424156e-19,0.8376033916010848
