,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,2.549174222309533,,,,,0.5480469210132888,8.663313057995142,0.0015245886967608642,0.2276623363125248,1.8632286434998698e-06,9.8056933741851e-06,0.5279997908432494,0.19269410317723723
assembly,0.13766113816570627,,,,,3.582977196653886e-06,0.3968408715855295,1.8270219759044502e-13,1.3899554610909926e-08,2.2940289819288584e-05,7.809595650317185e-09,2.2669392297758256e-06,5.721695243451293e-20
guaido/legitimate,0.4972726398578706,,,,,1.3743163022916215e-05,0.8260850291961389,0.18677263472939315,0.02396554357108702,1.98310904669037e-07,0.020741222066359373,5.884800628607169e-07,0.16392195091307193
maduro/legitimate,0.4829013317723274,,,,,0.00012261869065785085,1.4211459202014112,0.0002808234295150915,1.0213608203589994,1.5079152561848419e-09,1.1349628003881573e-08,0.0002418150718611833,0.005601719764432183
protests,2.4610302169254457,,,,,0.00017638322803914096,2.1223030282837008,6.795554105434467e-10,1.1566422682556813e-12,0.3871626755502566,0.0001841409549500732,0.11981093517542206,0.0009958791880219648
arrests,1.2495076558796283,,,,,0.01917599734793419,0.9163698573989412,1.4119121488065795e-08,0.020512333649659962,2.098276213741828e-08,0.634153448979347,0.07791476432059959,0.0007052868817130874
crisis,3.6242358609950327,,,,,0.006305518332801653,0.3647461514290623,1.202986736186013e-06,0.026648089671909594,8.662499741505784e-11,7.203773711410218e-08,0.8767222999129632,0.10615078681812794
other/anti_socialism,0.8452096092561966,,,,,9.93983642261773e-06,1.1252917500476995,0.02212462138165759,0.027839149789353673,3.795589857855834e-12,0.001042082495554122,0.0003656152955895036,0.8555056026331
