,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,16.572075661209627,0.9402766211093521,0.0007070827320415655,1.3096563715146558e-08,0.0036661375922945622,9.335546656064427e-11,1.659167385645341e-11,1.9386855894903987e-11,0.07352310850091635
assembly,12.536570813978942,0.017599192793372426,0.8929285914279251,6.71270727890471e-09,0.12525605937864445,2.4619784915756396e-09,2.854872791467259e-15,1.1643842570987141e-07,0.06019551873776269
guaido/legitimate,28.45327243942607,0.3188280707231974,0.061126532368119955,0.7151874261554698,0.11915540258510444,4.773971753909361e-07,5.347311237320669e-15,6.248928794514131e-20,0.013997284502211507
maduro/legitimate,1.5562742861069188,0.0001769023106236118,3.3905115929963065e-10,2.3499565547910318e-15,1.052843264188379,8.743140762571221e-19,1.8994866706780317e-13,1.1794705979847423e-15,1.2079883830575946e-07
protests,76.02865237293092,0.39780207201462064,0.005656641736926541,2.0231143623479012e-05,0.7536979707274989,0.789697888206233,3.96878727975441e-08,3.820393393810021e-06,0.21280214115782933
arrests,2.2973867837427577,0.000990484289822397,0.0112926034374538,1.7055331143378064e-05,0.00023041037435154074,6.489301155025116e-05,0.4869177430107003,0.009847680087091857,0.039688556292320445
crisis,21.516870786371868,0.001731134834328218,5.162368549367149e-05,1.140834201155147e-05,4.048892393801712e-12,0.012127415881817646,2.95256665463188e-07,0.8922954688004745,0.0006627436820158782
other/anti_socialism,4.196207499428666,8.594034814253669e-07,4.3393858999428275e-08,4.223941510279018e-05,4.177136737737469e-09,4.225188348208404e-09,4.7725531642541756e-08,1.8922324493876297e-10,0.9599789139359033
