,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,3.5599052049515962,0.8488954894790388,3.5640818693450034,0.00236754543881692,2.959334794556464e-10,0.056180247959307726,0.14861966849066757,0.15283973885564267,0.0012238242850935142
assembly,1.0332945877934607e-05,0.0018060285133822687,0.4596033814614444,1.249033781277743e-10,0.00039171003919822044,0.01135664478895488,4.908446271275039e-05,3.72555842483717e-05,1.5326028561234857e-06
guaido/legitimate,0.8811991840079104,8.187613418859673e-10,0.28973364809663443,0.984754192797746,6.060347299660115e-11,1.970694054688312e-05,5.112639126085805e-05,3.4905586225195244e-05,6.9894285078416936e-12
maduro/legitimate,1.3259931196454067,0.011750724440690533,0.3663271672410746,4.953361386575395e-06,0.5625863523374517,0.049359351582706046,0.12002841193842756,0.00018814236780888944,0.054422838444826795
protests,2.4764285537650643,9.665619492047674e-10,0.09605123974295691,7.203940095086456e-08,0.07492460003952216,0.8270296207298241,0.027376454671046598,5.824228232293206e-06,0.0030462322592240583
arrests,0.36434308585475844,9.511892748961243e-14,0.4998387416245075,0.013421115714292902,5.30081878092199e-13,0.003297698585924464,0.7147235756189765,7.040906499078952e-05,0.13691301285465274
crisis,6.558828577921134,3.344744486926642e-09,6.5338073542269886,0.72348914650428,3.2372042562830843e-10,0.04242349230849452,7.325692440234885e-05,0.359983356556371,0.43084104153842645
other/anti_socialism,1.407386355285842,4.430520822757656e-25,2.958923505173693e-15,3.846153217721391e-33,3.681073581213565e-11,0.00890771802523333,0.13009348651187827,2.1654812515455346e-18,0.8427896410215847
