,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,61.335190520635,,0.026539278131634828,,0.026539278131634817,0.5203987788943583,1.0240992123679017e-07,5.107835580593906e-09,1.3482175001430812,7.463613267147903e-10,4.3046983592758456e-07,9.63325271206218e-08,2.116206629537681e-08
assembly,1.2983770083213917,,0.0,,0.0,7.109947244560405e-07,0.8202102126243794,1.145138565894544e-09,0.08307312436986991,0.08993124830294037,1.2484514445319391e-17,1.7030213211464797e-06,5.306767715839144e-15
guaido/legitimate,13.100546791062536,,0.026539278131634828,,0.026539278131634817,7.487700838672501e-07,0.09677523016762633,0.8129715280466724,0.3113797800370731,0.021860430504669216,1.483324334813081e-23,0.194921164513155,1.4205893617483957e-12
maduro/legitimate,13.148974159967592,,0.0,,0.0,1.9692947453050155e-05,1.0154729064610629e-10,7.638476970246254e-10,0.9629809146622775,9.555258092493479e-11,6.564959016110235e-12,3.933021709567643e-06,1.285125075056236e-09
protests,6.125111519731242,,0.0,,0.0,2.462482201451737e-07,0.0014843378701195889,7.059163397447664e-07,0.1363283230610608,0.9575603801227572,2.0425888186132245e-26,0.000677135994701696,8.644900922632648e-11
arrests,2.1971692834986978e-07,,0.0,,0.0,0.002207972397603737,3.851488019232366e-12,1.2651057678784994e-10,0.11146914057619227,2.2331132147464101e-13,0.7776429606666158,2.150121547279391e-10,1.085352885207763e-12
crisis,9.829835656888607,,0.0,,0.0,5.92628019454843e-06,0.0007290538327197103,6.835791134547578e-06,0.07626236353122594,0.0009624420467877687,1.0973421917373925e-14,0.7577388493406034,1.8444862395165088e-05
other/anti_socialism,4.355713420300667,,0.0,,0.0,0.0054395543707567,9.51223234592226e-11,4.680876905332983e-06,0.002066490692672405,1.0269301796492049e-10,0.0010085417777936,3.832735851744731e-06,0.7255237457533812
