,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0007252099079789206,0.9992533023910439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0004344048653344917,0.0,0.9995655951346655,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.0013584707894301318,0.0,0.0,0.998620841838142,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0015337423312883436,0.0,0.0,0.0,0.9983640081799591,0.0,0.0,0.0,0.0
protests,0.00043154601359369945,0.0,0.0,0.0,0.00317494567143936,0.9963703897785244,0.0,0.0,0.0
arrests,0.0005753628341468145,0.0,0.0,0.0,0.0,0.0,0.9994052429130168,0.0,0.0
crisis,0.0008783411408101405,0.0,0.0,0.0,0.0,0.0,0.0,0.9990872141085698,0.0
other/anti_socialism,0.038351555929352396,0.19705634987384357,0.0,0.0,0.0,0.0,0.0,0.0,0.7645920941968041
