,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.002074330164217805,0.9977528089887641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0,0.0,0.9975272007912958,0.0,0.0,0.0,0.0,0.0,0.002472799208704253
guaido/legitimate,0.0002588661661920787,0.0,0.0,0.9997411338338079,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.007662835249042145,0.0,0.0,0.0,0.9923371647509579,0.0,0.0,0.0,0.0
protests,0.0091164095371669,0.0,0.0,0.0,0.0,0.9908835904628331,0.0,0.0,0.0
arrests,0.012838801711840228,0.0,0.0,0.0,0.0,0.0,0.9871611982881597,0.0,0.0
crisis,0.004714757190004715,0.0,0.0,0.0,0.0,0.0,0.5186232909005186,0.4766619519094767,0.0
other/anti_socialism,0.002638522427440633,0.0,0.0,0.0,0.0,0.0,0.001759014951627089,0.0,0.9956024626209323
