,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0019138051599131426,0.9979757830039381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0008690254500310366,0.0,0.9990689013035382,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.002652264069055312,0.0,0.0,0.9973477359309447,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0014657383657017222,0.0,0.0,0.0,0.9985342616342983,0.0,0.0,0.0,0.0
protests,0.0011190978349761116,0.0,0.0,0.0,0.0,0.9988378599406017,0.0,0.0,0.0
arrests,0.024311183144246355,0.0,0.0,0.0,0.46785521339816316,0.0,0.5078336034575905,0.0,0.0
crisis,0.002748763056624519,0.0,0.0,0.0,0.0,0.0,0.0,0.9972512369433755,0.0
other/anti_socialism,0.0005031446540880503,0.0,0.0,0.0,0.0,0.0,0.04654088050314465,0.0,0.9529559748427673
