,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0008401350326125145,0.9991242228750948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0010484927916120576,0.0,0.998951507208388,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.0009219581872484093,0.0,0.0,0.8154655239579276,0.0,0.0,0.0,0.1835605765485002,0.0
maduro/legitimate,0.0009601536245799327,0.0,0.0,0.0,0.9989598335733717,0.0,0.0,0.0,0.0
protests,7.809172227743859e-05,0.0,0.0,0.0,0.0,0.9998793127928439,0.0,0.0,0.0
arrests,0.0015848992874448696,0.0,0.0,0.0,0.0,0.0,0.9983891187570233,0.0,0.0
crisis,0.0013650712396553195,0.0,0.0,0.0,0.0,0.0,0.0,0.9984642948553878,0.0
other/anti_socialism,0.002890173410404624,0.06697229419972095,0.0,0.0,0.0,0.0,0.0,0.05889974088100459,0.8712377915088698
