,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,2.513340868122412,0.8785151726756182,2.155217483439001e-06,0.0009003443183431666,0.4646865914264341,0.005596925139312289,0.00018621681028972812,0.0008421664327712276,4.212926594294199e-20
assembly,1.6032587306785182,1.32083641703437e-11,0.9909631467752942,2.2463449993100716e-05,1.2956456048892487e-09,0.0014885748132398842,1.3971633371407737e-06,0.0024522621934449378,0.00021454648701801123
guaido/legitimate,1.5648793029173766,3.784707036358355e-07,5.689084425156579e-12,0.5559974628014825,0.020413941585762294,0.0019888338973167636,0.2877371189815267,0.0013206313406858572,2.0256322165451504e-09
maduro/legitimate,4.807691653099968,1.1459876938029862e-06,0.0003593106310218665,0.004260354225802222,0.9630857274803066,0.00015590271161079492,0.30566664956670786,2.600602370648099e-07,1.0892198371757894e-15
protests,1.315787444146087,0.005611229032861154,7.8454518847879e-24,5.983743866412268e-05,0.010566241323646565,1.060838753064091,0.0123085177371196,0.0010708442543195108,2.2136331115676258e-26
arrests,3.973284606382536,4.644925140022517e-09,0.0019130133168079905,0.0007606468194662633,7.283249911571198e-06,0.0007196406756505013,0.8799696792423033,0.004099719151241353,7.81230638531196e-05
crisis,4.254179032741857,0.0007524963954361007,0.05824340331998562,0.13413750740859726,0.033298153744502304,0.04109389892417902,0.08352694803976454,0.7917207884569712,6.806287486065637e-27
other/anti_socialism,1.056691430346372,3.016516380413326e-09,0.06124040539323603,1.1284159181087504e-08,2.250769035973296e-08,0.004756969814111951,0.00030970323864703615,0.0007410362112809828,0.8068573962601558
