,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,433.3277517217741,0.878013674576549,2.1217983576005795e-05,0.013688721868395672,1.238828836831689e-05,0.0379862971484591,0.0071628756108602755,0.08226506710282275,1.5134340290070238e-09
assembly,20.340038121622687,2.384855581836503e-18,0.9480566959288005,9.789930491005765e-31,7.328365656333843e-23,2.4113320432509194e-12,4.505709523382712e-16,0.07292315666125716,5.149793052745778e-29
guaido/legitimate,0.001135402091871733,3.3457377078052595e-08,0.21913927206834885,0.9788341087158725,2.2831501580897326e-05,0.01151676519028027,2.102122978533504e-09,5.937646509307439e-10,2.1395172001076413e-08
maduro/legitimate,4.659711443246715,6.767559198657293e-25,8.371746440210684e-05,0.009636880577599921,1.0889341471685963,7.494311172564658e-17,1.6452369713340622e-13,2.5504437978941202e-15,1.6685430421066115e-08
protests,714.6686466514351,3.4935691252212687e-05,0.00028394093173173267,7.2380725354250145e-37,1.8725333093261085e-25,0.9871043361763461,3.4381691064548165e-05,0.0402237770326481,1.429734562089734e-32
arrests,14.463832026379684,1.4557922787113296e-05,0.004080383684374789,0.010320189282453922,1.339370393419506e-07,4.755439849172003e-10,0.9143554928376021,0.12056223038966997,3.055730940434338e-16
crisis,98.4084520294639,8.788665680481665e-10,1.421213279462359e-18,2.0145726090231156e-11,0.030831558737026206,4.492091991831686e-15,9.404625211429411e-17,0.9554434880484844,0.00023197392365615344
other/anti_socialism,5.397188166065168,1.2763566071577535e-05,0.005729010575784186,0.013884545316419012,0.1983312320362827,1.1233928854751652e-06,0.000436624042329695,0.005842804005009528,0.41442371213127666
