,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,6.121363479686939,0.9104462969431427,7.752495914485468,0.00015569163442495128,8.580136330016916e-09,1.1615281868723745e-14,0.009395883293727373,0.04713762200364853,3.709294732579254e-08
assembly,4.373212123571821e-11,0.0015735218236664031,0.5958836640767716,5.280567736773884e-23,3.72745651567097e-11,0.0002737683838392684,0.039730926832334035,1.5828902404599348e-12,9.757948548457008e-08
guaido/legitimate,1.1916552257997848,1.2785688824564046e-08,0.7585129043826178,0.9410051466138551,4.909763608110774e-11,1.0197339395751257e-05,1.3172107876982257e-08,0.0005604324372543682,1.6025082212689137e-07
maduro/legitimate,0.6619616385062539,0.021816810626538844,1.8539208034241868e-10,0.0002563249344621698,0.617195807351877,0.003984000054683441,0.0023008327769101318,0.009188497250519187,0.001244825560374577
protests,1.448675987478716,0.023558196977526487,0.13356909295308084,0.01961873755322498,0.051105647701080725,0.6010360296805588,1.1104129164682437e-07,0.001276035625707973,6.57598355568217e-07
arrests,0.5302412201549972,0.01649994343516023,1.0784641741090395,6.181033808922146e-06,8.400909419873225e-08,1.747394029616191e-06,0.4836463578468663,0.01872700358431507,4.913271395862174e-09
crisis,4.230256364362764,0.0007550370102103015,1.3792587225491155,0.18894895080931257,2.0767253358954312e-13,0.00013399147364839438,0.00051661317256064,0.8411310439436422,3.645035131554267e-07
other/anti_socialism,2.933216302395912,0.0041318605425328375,1.2047618830183693e-07,0.006004621297002935,0.050108088963179954,0.17675993702890572,3.83087230670825e-05,0.002212324350929077,0.0012218775170283558
