,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0009472780557117906,0.963677807051301,0.0,0.035374914892987185,0.0,0.0,0.0,0.0,0.0
assembly,4.634994206257242e-05,0.0,0.9951796060254925,0.0,0.00477404403244496,0.0,0.0,0.0,0.0
guaido/legitimate,0.0005563591854901524,0.0,0.0,0.9994436408145099,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0,0.0,0.0,0.00014262283391570991,0.9998573771660842,0.0,0.0,0.0,0.0
protests,0.0071482317531978935,0.0,0.0,0.0,0.0,0.0,0.9928517682468021,0.0,0.0
arrests,0.002611875326484416,0.0,0.0,0.0,0.0,0.0,0.99721399965175,0.0,0.0
crisis,0.00045300113250283127,0.0,0.0,0.0,0.0,0.0,0.0,0.9995469988674972,0.0
other/anti_socialism,0.00141643059490085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985835694050992
