,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0026650266502665026,0.9973349733497335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0016987542468856172,0.0,0.9983012457531144,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.0,0.0,0.006342494714587738,0.9936575052854123,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0011318619128466328,0.0,0.0,0.0,0.9977362761743067,0.0,0.0,0.0011318619128466328,0.0
protests,0.0010576414595452142,0.0,0.0,0.0,0.0,0.9989423585404548,0.0,0.0,0.0
arrests,0.003076923076923077,0.0,0.0,0.0,0.0,0.0,0.9969230769230769,0.0,0.0
crisis,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.9960629921259843,0.0
other/anti_socialism,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908256880733946
