,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,12.205723192190618,0.9284869120579048,7.477760444529465e-19,1.0783385311587109e-11,5.1989127740019394e-08,0.011874773319018574,1.2480319128606268e-09,9.690557383200811e-05,4.661696408078024e-10
assembly,0.0002743658762304232,8.022598028004532e-07,0.8505553073407623,0.0015518832921825045,0.014409228092580753,1.9418186603137998e-07,2.840491118425561e-09,4.6308580152063204e-07,2.3791474515122644e-13
guaido/legitimate,0.25407889173243486,5.2424571808167555e-08,0.5457083071319037,0.4901653135245061,0.023855277517641733,3.868304706825156e-12,0.060680253301375185,3.194648713145704e-05,1.0700166949922918e-08
maduro/legitimate,0.763974463339256,0.013258109707201702,4.335489405025961e-22,1.7453102752631576e-07,0.7637702881679462,2.83398764437633e-08,0.101145621691191,0.0018586883616336218,1.8052765343219732e-07
protests,4.061370088373407,0.008230075466368286,1.4405990596631809e-24,5.424904729060674e-31,7.156165742313519e-14,0.9320582651584746,9.602421380403428e-25,7.052577351435444e-15,5.174852723838524e-29
arrests,2.0426665575291043,4.452308659480391e-05,0.08324026008088435,7.451236145893094e-05,0.0003401122145085415,1.8093865823312224e-13,0.9005475845897725,0.0001620463155891674,2.8892268803968765e-07
crisis,11.702130514089985,0.13164944059035233,7.099922968727363e-32,1.0493308160477152e-10,4.1091565835959444e-05,5.833024060055275e-07,0.617983077154876,0.27601024722657075,6.097464937313763e-05
other/anti_socialism,2.4171868450495553,2.798211851862559e-06,5.143000841168202e-10,0.00021944117134812833,4.728291163572071e-08,0.11337285861357296,0.42760063987254116,1.1001210192398233e-05,0.5286914208594077
