,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0066030407279991125,0.8754855177005881,0.0,0.0,0.09083342581289534,0.0,0.02702252802130729,0.0,0.0
assembly,0.0009633911368015414,0.0,0.9990366088631984,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.0022752003165496092,0.0,0.0,0.9666633692749036,0.02408744682955782,0.0,0.0,0.0069739835789890195,0.0
maduro/legitimate,0.0012558869701726845,0.0,0.0,0.0,0.9987441130298274,0.0,0.0,0.0,0.0
protests,0.0003937007874015748,0.0,0.0,0.0,0.0011548556430446195,0.9984514435695538,0.0,0.0,0.0
arrests,0.011869436201780416,0.0,0.0,0.0,0.1884272997032641,0.0,0.7997032640949555,0.0,0.0
crisis,0.0008227067050596463,0.0,0.0,0.0,0.0,0.0,0.0,0.9991772932949403,0.0
other/anti_socialism,0.00019527436047646945,0.0,0.0,0.0,0.0005858230814294083,0.0,0.0,0.0,0.9992189025580941
