,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0009106085900743664,0.9990704203976324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.00017695983011856308,0.0,0.9998230401698814,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.00013422818791946307,0.0,0.0,0.9998657718120806,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0005672954190894909,0.0,0.0,0.0,0.9994327045809105,0.0,0.0,0.0,0.0
protests,0.00011482814054964403,0.0,0.0,0.0,0.0,0.9998851718594504,0.0,0.0,0.0
arrests,0.007654455986878075,0.0,0.0,0.0,0.0,0.0,0.9923455440131219,0.0,0.0
crisis,0.0010269049086054631,0.0,0.0,0.0,0.0,0.0,0.0,0.9989730950913945,0.0
other/anti_socialism,0.001813236627379873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981867633726201
