,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,44.54925039743289,0.9480332586093438,0.0002009383001131289,1.1592661397303704e-07,0.14040221924986893,7.177209092875105e-05,3.7198777387491546e-13,0.006998089974474331,5.629649735560775e-07
assembly,1.0174406307224115,6.557099928639494e-07,0.9971242590672281,0.0042221083819102175,1.9997640356609625e-05,0.00033891043918580577,7.66855268795221e-06,0.020422198129029834,0.013642671340643031
guaido/legitimate,0.9857726582464497,7.253563035247241e-08,2.365832438371448e-11,1.0565307611983599,0.0007347205157850451,1.4082008421449945e-14,2.572234822918968e-10,4.801104506833383e-10,0.17269357692465484
maduro/legitimate,10.422467254139905,2.045533478925283e-08,4.938651189371598e-20,0.00016280850987146974,0.9530863445467065,3.72545365820642e-07,3.5956831502792106e-09,1.8875967828857327e-06,0.7185319484959832
protests,2.5964405514088287,1.2932044433841552e-13,4.543280830405899e-53,4.155353637965621e-30,0.0025324410049053663,0.9187547424744019,1.203716565483161e-07,0.23410619151442563,9.123019785869653e-11
arrests,3.7600497569976725,0.0006083137583688417,0.006119292295589741,2.0258478726781517e-09,1.8075333933681826e-05,1.7888302491565537e-05,0.7181400595574532,0.02662558204130388,0.00013897179072807972
crisis,9.195379023410002,9.208982606080241e-05,1.3526561504890769e-15,2.2439935570064773e-14,5.164249959545975e-07,0.0003099290546197862,9.771294720782831e-07,0.9696080143497091,2.195693879645047e-06
other/anti_socialism,1.6687379263333988,0.00011168019090708447,6.641978081673617e-07,1.2334913198244204e-06,0.00021029374782845177,0.00026249978135635594,3.003116381614147e-07,0.004611619263177084,0.9741688199845705
