,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,10.653952266608506,0.7522373645712309,1.6952817590932504e-10,0.06261803741166486,0.23648410101154116,0.10343961299170056,0.010416452449177792,6.844848607855616e-09,5.287372714532895e-08
assembly,1.540067657238593,5.054607210681232e-06,0.6663815828017153,4.286086615524055e-09,0.15043859831666836,0.005222232153123007,4.8896538645676034e-09,0.0030754382574868463,8.517985721027988e-09
guaido/legitimate,3.813042052310727,2.9613983002937825e-07,6.014894146144145e-06,0.9658705833367317,1.1147632349017931e-06,8.211125557349185e-10,5.29959819185592e-05,3.1472703919761773e-06,7.49868901655622e-11
maduro/legitimate,2.43586749471106,3.156754766202871e-05,1.8796862166653833e-07,1.4892205593121774e-06,0.9937240689801717,7.387248894235258e-05,1.128525895384769e-09,2.3364602264136185e-05,0.0007037545144173329
protests,2.513407282667413,0.0002748157534506857,6.6384371231247e-10,0.0035967387793340473,0.0023322788748171104,0.9208276621930134,3.377433205719054e-06,6.5081507537768946e-06,0.10074533200796881
arrests,2.374971218667871,0.0006328755545684622,4.8530427679012234e-14,0.04923174192264533,0.035160719287247,2.8303884480115754e-09,0.7728657915430087,7.542176313980117e-06,0.013188997638355085
crisis,2.625534622568891,1.1923556642313106e-08,0.09512426989937585,1.3779020931252262e-32,0.3627683360907374,6.873224627636018e-06,8.491185849610372e-28,0.6351477074028397,8.275390506958324e-06
other/anti_socialism,0.6686851407525293,0.025503647715561677,6.192475422383412e-06,3.0096748017675103e-09,0.0022164765207030447,0.034370817193090396,1.5180299272602333e-07,3.183356204902828e-05,0.6462959632774461
