,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0011904761904761906,0.0,0.0,0.0,0.0,0.9988095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.7058823529411765,0.0,0.0,0.17647058823529413,0.0,0.0,0.0
guaido/legitimate,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.996031746031746,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.015174506828528073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848254931714719,0.0,0.0,0.0,0.0
protests,0.008946322067594433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910536779324056,0.0,0.0,0.0
arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991869918699187,0.0,0.008130081300813009
crisis,0.04866743916570104,0.0,0.0,0.0,0.0,0.0,0.01197373503283121,0.39976825028968715,0.0,0.0,0.0,0.41135573580533025,0.12823483970645036
other/anti_socialism,0.005202913631633715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947970863683663
