,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0016821195854981772,0.0,1.722306742830898e-05,0.0,0.0,0.9983006573470735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.0003908716437655973,0.0,0.0,0.0,0.0,0.0,0.9996091283562344,0.0,0.0,0.0,0.0,0.0,0.0
guaido/legitimate,0.0013531173147566962,0.0,1.5434798267186648e-05,0.0,0.0,0.0,0.0,0.9986314478869761,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0022023461728617015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977976538271383,0.0,0.0,0.0,0.0
protests,0.0022466748494440734,0.0,2.8711499673406692e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9977246136508825,0.0,0.0,0.0
arrests,0.000487012987012987,0.0,1.0822510822510823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995021645021644,0.0,0.0
crisis,0.0006109008552611974,0.0,1.4900020860029204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004455106237148732,0.0,0.9949190928867301,0.0
other/anti_socialism,0.0035808068751492002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964191931248508
