,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,5.142373882134269,0.9848551015693425,3.2950664513366766e-14,2.590519583348962e-08,0.0013691266336002248,0.17154304823666613,2.0679370418653525e-09,1.5994938027421078e-12,1.975423654822469e-08
assembly,1.4977681164555416,5.8147172207004556e-11,0.7791320884512403,7.341089776299676e-08,1.8215027155934839e-06,0.015618699069659535,0.06591293193690452,0.04119150181430731,0.05771607884364257
guaido/legitimate,3.21795113099952,5.250729778644194e-06,0.0012878322117507207,0.7737232155374826,4.602934688622167e-08,0.0366387019869045,0.00010519075697409296,0.004807843803561211,0.003405957069897432
maduro/legitimate,0.8331200978807966,0.004131338717295433,2.548652937490616e-09,2.123012136584495e-09,0.8801614811077855,0.22769880579239554,0.0011452892786601113,2.633001960466018e-08,7.50516813730335e-06
protests,3.2149130751385235,3.0486059883608673e-07,4.7629075367673e-13,6.860765765798983e-10,1.5850725203359736e-08,0.9813758555676809,6.153851318305381e-09,8.238018398803245e-09,0.00023344462620298389
arrests,2.5671793542377155,4.171091874272465e-08,0.0011472208309291731,0.12626028580757181,1.1776308530912692e-05,0.017096005375418215,0.6330198921623623,0.004172776319948963,0.22908758956832978
crisis,3.38497861230123,0.010640569785496603,0.005331105059649904,4.310387314275427e-09,0.0019021536610864178,0.043180807166117455,1.8898930765502182e-06,0.8537223439517667,0.31014668428485215
other/anti_socialism,2.554964057290458,6.501003578511848e-11,0.0003828265824065768,6.172419077735014e-05,3.892109909276363e-08,0.0030528272762038507,0.00013508639600304375,0.0016728942810876229,0.8343998960677332
