,const,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0009810654370646522,0.9990189345629353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,0.00026985350809560527,0.0,0.9931765612952969,0.0,0.0065535851966075555,0.0,0.0,0.0,0.0
guaido/legitimate,0.002507870444480017,0.0728883197268022,0.0,0.9246038098287178,0.0,0.0,0.0,0.0,0.0
maduro/legitimate,0.0004801344376425399,0.0,0.0,0.0,0.9993998319529468,0.0,0.0,0.0,0.0
protests,0.001580550606356687,0.0,0.0,0.0,0.0,0.9983907121098914,0.0,0.0,0.0
arrests,0.0,0.0004374801145402482,0.0,0.0,0.0,0.0,0.9995625198854597,0.0,0.0
crisis,0.000373353245506427,0.0,0.0006933703130833645,0.0,0.0,0.0,0.0,0.9989332764414102,0.0
other/anti_socialism,0.002565418163160595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974345818368394
