,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,7.7160566791577265,,0.0,,0.0,1.0396417529867257,8.26679572443935e-16,3.4538341812406793e-07,3.540042850200901e-13,2.8446874917268382e-12,4.821553781021386e-13,1.1376517900024099e-12,5.20046273767122e-08
assembly,1.1404973996591787,,1.568200723197741e-31,,0.04723774196728421,0.009289216586722814,0.9538265674022823,1.2991088479747569e-18,1.2415364774540918e-10,0.001477881635768202,5.083165281227094e-13,7.501898291217293e-10,0.08892203148165968
guaido/legitimate,21.50331742281413,,5.932348077346154e-38,,0.09725776962363103,0.006957606784555977,0.16320951419728005,0.8974228347470179,1.036257784274234e-08,2.7828658823244945e-07,1.1714340306939216e-13,1.7911675954143295e-08,0.018919063064935356
maduro/legitimate,0.6618616634849253,,0.0,,0.0,0.002052091813608727,0.020961377285643783,1.6207954874426634e-09,0.9136266711963934,4.730671335957157e-08,1.1322812987343889e-11,1.437763706774248e-11,0.00017211998297401047
protests,32.750138029149255,,2.2109362641927347e-33,,0.047628419957552494,0.1417565002025478,0.00015890298641576262,1.615072941269188e-09,0.8889660673666647,0.7796067224993842,0.05785660555201311,0.02377153638757578,0.7911679574693229
arrests,0.48476961620362363,,0.0,,0.0,0.010701521320730479,4.56476815965544e-06,4.230256756531958e-10,4.5147327069557886e-05,1.1858999132700859e-05,0.8845782749558012,2.540601984346603e-06,1.812025185911773e-07
crisis,10.560878546584616,,0.0,,0.0,0.0002781470859015054,1.4888014502009152e-05,3.79760502095047e-07,0.004071125355817199,0.018289640660746516,0.11683204400165598,0.8513536042124402,0.05310680807571042
other/anti_socialism,2.4390604207114923,,0.0,,0.0,0.0006089185271758844,3.885121677099526e-06,3.1164212029147697e-06,0.00010590375139051713,1.6516190584279391e-06,6.834562875999432e-12,3.718192792892727e-08,0.9596330520615838
