,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.0785074197459667,0.033602150537634407,48.540434796634514,0.033602150537634407,0.6292779600821526,0.864243392845583,0.0017324007174246714,7.820894795674131e-06,0.21225112011708455,1.928823224950942e-05,3.4548399557519897e-14,0.2689439458405592,1.545815042947555e-06
assembly,0.015585269281605483,0.0,0.0015430418785054958,0.0,1.027797349966309,1.4921548535772904e-12,1.0074210664643353,5.337033406081082e-06,4.188459472765889e-07,0.007573011481442336,2.3844828296452823e-20,0.0025468293190541004,2.9171030024929883e-07
guaido/legitimate,0.350874354185142,0.0,0.16282861220164288,0.0,0.22586722495229097,1.1039878327968889e-07,0.0006275324950011112,0.9890408924758212,0.03245393169256825,1.7349539018257e-09,6.768759321459008e-16,4.463825854174192e-06,0.0037423436554306663
maduro/legitimate,4.609108894248577e-06,0.0,13.835642576851333,0.0,5.252548732538518,3.3431751212445634e-11,7.661010720237333e-17,1.822314071205512e-11,0.9597462933724032,1.7854538758687891e-09,5.802731995673132e-26,0.00023356408845278287,0.1813348197287238
protests,4.708378740893686e-05,0.0,5.304759620508567,0.0,6.778824778886876e-09,3.916503402888494e-08,1.720781645025732e-12,4.417376329236838e-05,0.0011575630037447527,0.9717920376358766,5.1453110486839944e-15,0.1473928763267484,3.240340625951167e-07
arrests,0.00011508644575563546,0.0,0.9523921445819095,0.0,8.228858005584962e-10,0.0059620484303246025,1.0347232382415027e-06,0.0009763167359264763,0.0024185226968934685,7.28818118178463e-13,0.9226344609237693,1.2022456554259495e-08,9.256850839315838e-11
crisis,0.1592935962271083,0.0,8.678702690091528,0.0,0.009392390369218462,1.71857992486573e-05,1.0855412133620706e-09,2.119116166341299e-08,1.0568957968258558e-05,0.0002906111381887066,6.647512160030727e-11,0.9837094071590561,5.2533198825191615e-05
other/anti_socialism,0.22843528943297578,0.0,0.021878793449618,0.0,1.6580881625794377,0.0001071005252150218,6.159005514657667e-10,0.00048727020643516864,0.00011493884379134005,1.617633296345273e-07,2.7906283805081463e-08,0.008016235756701013,0.9380055972832566
