,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,1.0520187077859578e-127,1.408224335580673e-187,218.07483294644365,218.07483294644413,3.295026392060024e-79,0.9093895434580581,0.02471996740669769,0.00023312838554324212,0.09137047382313254,2.4391248440311906e-14,5.323805505210898e-07,2.746464716947929e-12,1.67514401273756e-19
assembly,2.649148282593612e-144,2.3277717738396476e-216,18.881546905147385,18.881546905147278,5.446624685925009e-108,8.644899434182061e-09,0.9514079677472495,2.7352928742619824e-20,1.461549473643511e-17,0.00011726608458014882,1.1763438053450489e-10,1.0188024963978206e-36,2.253583915641797e-11
guaido/legitimate,1.6261029664607857e-125,2.6553718334786635e-187,14.652407995613974,14.652407995614043,3.904733676986955e-84,0.03253575901550457,0.011792060682005227,0.8965305998559444,0.00042116382173706913,0.017111350354544606,3.5528997833765685e-09,3.322285056903161e-13,2.2007140808443636e-20
maduro/legitimate,3.045413479330338e-131,2.2858011882446243e-184,14.56912087698121,14.569120876981172,5.34842002937163e-76,8.772041467438375e-05,0.06017895099903132,0.006340692615956583,0.9033387692278838,0.0001307846428258849,1.6545176232649346e-10,4.1011641929765175e-13,1.2703123133619814e-26
protests,1.5034674034158077e-142,2.324080306187945e-213,28.902448156987273,28.902448156987045,5.437987224527338e-105,0.009405206402438854,0.275692774202264,6.274042764388948e-18,3.978102486583528e-14,0.9398072682764469,2.472407812737918e-16,2.9354267423000405e-12,7.676571978557185e-30
arrests,5.937845528859913e-131,2.5989676971529404e-07,220.81662403125281,220.81662403125338,0.13084380136241533,7.806680865330291e-07,1.6929639141951493e-10,1.701792118692539e-08,0.1538542900434549,2.3812026776558903e-10,0.8629622680410962,3.474722692636973e-27,1.0037300923371074e-08
crisis,1.533877632286455e-42,2.6380566078852057e-62,1.34297705684015,1.3429770568401445,1.2572567247844566e-27,0.02055794268634336,0.0008308690970809088,2.419097700478731e-06,0.00039381473043090156,9.304222635709212e-07,4.4136097955073495e-06,0.8913380232123682,1.429033879842658e-12
other/anti_socialism,2.122287718654509e-134,0.06733554308952897,17.136830383094892,17.13683038309481,0.011119031692293661,0.0023521771307287186,1.55833373673319e-14,3.393716613668494e-06,1.4325358748055154e-05,2.3680978161114187e-06,0.0043141367163531475,4.146468110977906e-21,0.8345851197616083
