,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,4.880298468940466,,,,,0.9817248848723382,7.98298979755883e-15,0.06333121261563693,0.0001794453380276381,2.5696303478229976e-09,3.2004073963798045e-06,8.713683427352846e-05,1.2950896727337962e-11
assembly,0.0027496053906558298,,,,,4.77811984076407e-07,0.8139540942307149,0.002099060928850969,0.007616484019221745,0.0001457923388587245,3.436170445709643e-05,0.00045899947573242776,4.8543644895061376e-05
guaido/legitimate,0.4557936703312964,,,,,5.644513520072081e-08,0.09986349209218089,0.9738406135673391,0.006284882671710685,2.0250573246819874e-17,0.003992524762438681,5.8613099685540864e-05,3.5586521093274873e-12
maduro/legitimate,0.8449349469798909,,,,,0.0018480691395267891,6.40470855959987e-13,3.0846177181192235e-06,0.8837559194325225,0.00012215725885337666,0.003856948530712966,0.011779434723673562,0.0002590107245813095
protests,0.005990780293257333,,,,,0.028665519747041682,0.0011149482074991647,1.5983796761249963e-07,0.0018749461864014645,0.9218604145324035,4.8187012383075886e-05,0.0006064179196367521,7.891236212376605e-05
arrests,0.6158052935395005,,,,,0.0010041227683657856,0.09143034631981291,0.0011111089406444013,0.05384700353721978,1.7971202114985508e-09,0.8866258892974052,0.002722343382912258,2.12765313173721e-05
crisis,3.424754103501895,,,,,0.014604571619044469,3.673230101139141e-17,0.2066707996430034,0.1552734655929909,0.021007567537337166,0.00117520323357692,0.7976832495465331,0.0004102544138500125
other/anti_socialism,0.7001512254056058,,,,,8.057478468055713e-08,0.2868089139225565,3.711475554784718e-10,0.008832707880760704,0.02449655476584865,0.00010749871878415369,4.254450874422383e-05,0.8878731639081439
