,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,23.44778373599699,,9.56545486873618e-07,,0.051416768707262576,0.918167648813972,0.006221404507896429,1.5412783516891094e-13,0.17237673634697293,2.6496811957248133e-07,9.025589015437924e-15,1.1845718485356828e-05,0.15218782041924125
assembly,7.1633719862981655,,5.437768749845764e-198,,8.488334482719942e-99,1.5873929390452447e-07,0.9616685386623046,2.7733678855342916e-09,1.7332678545222844e-07,0.02273072916117955,2.9755195952182542e-08,2.897016227178889e-09,1.4022777152280905e-13
guaido/legitimate,5.953604465785731,,4.346188740721283e-222,,1.6463149089277777e-127,0.006203320725720293,4.622060717619144e-06,0.9487380591670366,0.04482436755334657,0.0014744191315082002,0.03584155036038729,1.5276333746185833e-05,2.8453644991009255e-05
maduro/legitimate,4.577933160224941,,1.6696424746310867e-193,,7.065028478879059e-87,9.126628668929507e-14,4.763211363101353e-15,1.774994043495793e-16,0.9875257842707621,5.22102445952313e-11,1.3196812783936068e-29,2.911741297238684e-17,0.00700286417082968
protests,11.937717054690635,,4.056079376528989e-210,,5.2240282898477e-113,2.1959038162594336e-10,9.760021329793584e-11,1.330220596982847e-08,8.111171226472936e-06,1.0135340375904414,0.0006579344196886107,1.055147400037699e-13,0.0017508604048020718
arrests,0.0015151375183286942,,2.971652719864986e-23,,3.238813171100892e-16,0.00829329396729078,0.00017092853645430997,0.00028406857870268566,6.889502225993991e-05,5.138881312497491e-05,0.9912451909994063,0.0006748703838708189,0.0009519805585215771
crisis,6.233059288052535,,3.7822228690833177e-144,,6.603250296253398e-76,1.5976284336454958e-13,0.02236005968320408,1.5959804404983662e-13,1.0619072071349305e-08,1.5320980811565642e-07,1.6582186141651902e-35,0.9415224500061183,9.999276596326318e-09
other/anti_socialism,2.473841229037991,,8.862612050770585e-162,,2.1449207237903674e-81,7.421781534700202e-05,3.860399049234443e-07,4.04112149032387e-09,0.001585999291419525,1.9204546517583707e-08,1.2582513038366468e-15,5.817939216634542e-06,0.941235753581868
