,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,2.812388706611118,4.090119761786742e-266,1.8743929096720038,0.0,0.040010839646437625,0.8514968903675376,0.01395714933099247,3.786436694993901e-06,0.2715335919684297,0.0004277774991654153,3.660267531906581e-15,0.3055385019167109,4.04563119736561e-09
assembly,0.472586690217433,1.8536467741875515e-141,9.51632960111266e-22,8.500863212023739e-305,2.8481936779814593e-12,9.522026646247128e-11,1.0012259918999764,0.006046102103643349,3.4410437968365685e-06,2.62870512587543e-05,7.401836473748662e-14,0.027086124303924885,4.789035035311908e-06
guaido/legitimate,0.6804066198403019,1.0094454639841178e-160,3.873050120124353e-12,0.0,2.8855843127314124e-08,2.450408599200183e-07,0.0003204032941912423,1.046090715554958,0.009594927686663257,1.190587824807959e-06,3.7996576460955474e-13,0.00010358041004215765,0.011952680067882642
maduro/legitimate,5.681505411514396,3.6138611465087552e-255,0.0014668999740363288,0.0,0.0055526746762982635,6.502484191810007e-13,8.439261015160972e-16,3.1574374920160153e-09,0.9772848392923785,6.6244823302921585e-06,3.1555328008856355e-27,0.007421215283446872,0.19139294179703537
protests,0.003971906620020737,1.4522602674740244e-92,0.016393286487381437,4.0135149308481025e-185,3.295033731443304e-05,2.4455310321155513e-05,7.275896809609842e-06,0.004757233030426553,0.003723560521595373,0.9774765451464409,1.4345658103638675e-08,0.11131616018057822,6.732844034837197e-05
arrests,1.0881076599739365,1.4807278855010012e-126,9.520398865917974e-12,1.7975933728718948e-272,3.857092332862454e-16,0.00291152253332194,8.387767524081523e-07,0.012069728540683222,0.0011579779640361106,9.784265615347082e-11,0.9426840358650866,3.5290839888009787e-06,1.4293746685222826e-08
crisis,5.196189908411335,1.3165267454128848e-241,0.010242822171558651,0.0,5.9338665878960254e-05,4.1841168348274633e-07,5.796711044044442e-13,5.929011956669026e-11,6.737609629309067e-06,5.010371805151925e-05,1.4371404461566073e-11,0.980832828689296,1.5909429082549917e-07
other/anti_socialism,1.128921809332869,2.227356702799677e-259,1.6516608517854936e-07,0.0,0.08186970125907071,1.076338370068286e-07,9.131241190824143e-13,3.0905081248691524e-14,8.74555037149142e-05,3.2094567402216577e-09,2.125898241296909e-10,0.011225364313219594,0.924533653271314
