,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,7.127963374776093,8134.253315107257,,,6.953335479099486e-48,0.9071183267124686,8.103175077998866e-13,1.136176279532885e-13,1.0624245442834296e-06,5.520971180247527e-11,1.1259855987634317e-10,3.667499857625103e-07,1.140288040369507e-07
assembly,0.00014873083431009133,486.4593438374282,,,1.7753873997650694e-61,0.0010529618242003803,0.9870602654667329,1.4400117980407395e-20,1.351811602863497e-06,5.618534752601949e-17,1.5856815464378723e-05,0.005194795643952049,0.0018008237521268992
guaido/legitimate,42.610029659663475,8409.072115886773,,,2.911080995061388e-51,1.1066541522177246e-21,0.07505861931175466,0.07803832938334596,1.269845231696413,3.5401859535173427e-23,3.973208240960866e-32,5.140154327837125e-12,2.264841454733566
maduro/legitimate,0.2983107485156799,161.10378862609784,,,2.937516717528073e-43,6.519632520098619e-08,0.013894699631561381,4.902755296409229e-12,0.925256119565691,2.47242357101566e-17,2.4673902242888096e-17,1.837024574757077e-10,4.091145144068297e-07
protests,8.694337397955232,2917.151619396316,,,4.420065270554634e-64,0.09900396749717709,1.1670901651159737e-05,8.101397087815082e-13,0.9571846580327661,0.8519112469717129,0.008876961215809102,0.0007464465222155901,0.06252948689904415
arrests,4.006196788651716e-19,126.44185227040919,,,8.913794462509955e-46,0.006035893877498323,4.086772652649428e-09,1.3542024850639357e-14,2.7511241103695912e-05,1.3410437797691398e-08,0.9638269430935531,0.009806908135051015,1.1547201136372895e-12
crisis,0.5474413305572788,944.6876004091098,,,2.672567893629494e-62,2.076517441077128e-12,4.3876635017285946e-11,1.3027311315743623e-17,0.1663648587357024,8.469106797285263e-11,2.980501210191357e-12,0.9204082679827276,4.249704630824682e-06
other/anti_socialism,1.2517681173993995,98.07338212127151,,,8.365488891135908e-65,3.1019289354892455e-13,0.0008119466941460375,9.254422542922503e-15,0.0035006516784764556,2.5152020650108354e-13,3.4414616091996884e-09,0.0011148387471196614,0.9366536563032338
