,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.38574811139788784,30.9920516758229,61.33888730312804,3.579978469476212e-44,,0.8643143377153254,1.4142212705417086e-09,0.005552102690715999,0.00012544793760028915,0.06156754171082713,8.48644238264948e-12,3.706857174788999e-20,3.873547100085109e-10
assembly,0.2909847356316389,7.638919038584718,8.09075750951463,1.3066304758576163e-26,,3.0434821086193134e-11,0.859739155691128,1.1682766184564786e-08,6.9424209706056345e-12,5.976870424966462e-07,2.5635100432347094e-09,8.050515193810893e-11,0.0002208024327364909
guaido/legitimate,0.00029146985381463015,3.9169550336951384,0.0029476864234390865,2.62999480515429e-14,,1.684699576116752e-09,0.03183578237013608,0.9577407862876008,2.5722247761971538e-12,3.2953418082684956e-07,2.4979367471402068e-08,1.0560210855947744e-10,6.690343872676087e-06
maduro/legitimate,0.2127550458061984,13.132220389838295,8.750189617749287,1.1262863304316131e-46,,0.00011648360078918505,0.022028975251427614,0.001574728221077117,0.854401127862661,0.052504243532723094,4.263183022271952e-12,1.7338623302740984e-11,2.1218574930528034e-07
protests,0.2427824550142029,10.008141821292046,15.765236947570068,1.6027312721810724e-22,,2.6853253138850885e-08,6.792900490695336e-07,1.0094471641683526e-05,7.299100786911241e-12,0.8820388537096971,2.422769168744988e-11,9.097532301091637e-14,0.0019632576532366184
arrests,0.43560251100292274,8.684032863973437,56.18159495920628,2.6533324198117725e-40,,1.1106424044326524e-08,0.030464164509092083,0.00791185387937698,7.598499701291376e-08,0.00018870381722369212,0.6388666344873584,2.7115322065123606e-09,6.105162892394992e-05
crisis,0.31707216906268637,31.348240056815854,42.635395137411905,4.670922592534725e-40,,2.445925543890229e-05,0.31125742005436524,0.01843239628027163,0.07070495420611576,0.0010551505316123986,6.886539884341146e-11,0.34175093067241047,0.0036103621923239747
other/anti_socialism,0.44519972073076125,4.352838836981803,7.566697518767672,7.16330314003001e-41,,1.2135891501499715e-21,0.009515129462787106,0.002675665413044322,1.570600080778633e-26,5.7810629746501616e-08,5.5932344054185995e-11,4.488788126889629e-19,0.7501800201965957
