,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,11.806864911889342,3.486929276300658e-10,2.9693910389007567e-09,1.2983560476648107e-10,,0.9431222403293522,1.531083416428233e-08,0.00011310264041225751,3.4602889646862464e-05,4.05039693658024e-08,1.6683981887539674e-15,6.601482223405564e-08,0.9044144435249712
assembly,0.000890459348695661,1.1430186171843096e-08,0.001868875294834068,0.00015521476571928237,,0.005640464004440429,0.9513878760551217,0.0054371688908931,0.11730179716373228,0.0029568102110729545,4.9016846442137836e-05,0.00010966227909876833,5.628465497752592e-05
guaido/legitimate,7.800978628656513,1.4358204860984782e-15,1.2690527814916927e-11,2.2032970313569573e-13,,0.05319184437038379,7.410887035602931e-13,0.9309685894178141,5.819628058653373e-07,3.6029723533375567e-09,0.010617665455356794,6.999689059873264e-07,0.0014340678768436392
maduro/legitimate,1.5248538688974413,0.31418515494456223,9.82911044636387e-21,2.0259071880058104e-18,,8.289202070387151e-08,4.972372635362594e-14,1.0867936551729661e-06,1.0078643587778413,1.236192965851018e-13,5.461810334736061e-25,1.719476828812876e-14,0.053193753985149535
protests,24.48839444212359,0.0005486287236174746,1.2569325202368936e-05,1.8007574728215932e-06,,2.8659801180417698e-05,5.653153896866835e-19,0.0011331792179916059,8.096484754338426e-06,0.9666358992023335,0.006588322756307017,2.9068373338184112e-15,0.050053552475148644
arrests,1.129437716171683,4.235895423296519e-19,19.423307827742164,0.0014278595714631542,,0.0005045126249970829,2.981942633289907e-19,7.0992623159196324e-15,6.51152273804161e-20,6.847731208382686e-19,0.9890872398337356,1.4399014353710176e-10,0.04897191592645837
crisis,3.4727208236914797,0.5607067201934509,0.02132550291875096,0.0027866570684941887,,4.3601200116077736e-16,0.04728435978762528,1.2253661231622874e-11,0.00010570783435995081,1.675689528994337e-08,6.223163648607312e-51,0.9294824453409419,0.0003255847191885107
other/anti_socialism,2.3298279650895504,0.9302847425367952,3.845818612094824e-15,7.326042010293606e-14,,7.722640395023516e-07,5.553510115389438e-13,3.490763091148295e-05,0.0005813445915740492,9.129093933608345e-06,2.7225404509020417e-18,1.0727227742352773e-10,0.9578901820407996
