,const,oil_brent_inc,oil_brent_dec,oil_wti_inc,oil_wti_dec,military,assembly,guaido/legitimate,maduro/legitimate,protests,arrests,crisis,other/anti_socialism
military,0.4801605202086822,0.06508128582100618,8.396590653392044,0.2987625445064787,,0.9920153039584083,0.0001412543665707166,0.0029540030891339127,7.030908281472072e-05,2.841290603691843e-05,0.005712689142660282,0.005002954926641819,3.137525281650346e-08
assembly,2.130791245995004e-05,3.5599162110863005e-05,3.0030891696330134e-10,1.6644904661072412e-06,,0.0010889405814805849,1.0963991748356203,9.83830950605125e-07,0.0007786742118575467,0.0018060663398712501,0.0010390737493130864,3.724507408037935e-05,0.01887862604093372
guaido/legitimate,0.03894663952607566,0.07716974050256346,1.7595562582396553,0.29790918318368864,,0.0018929578713611827,0.023949857154346766,0.9281578561393837,1.1521593044450388e-11,0.01593643435465301,0.002765632024532899,0.005332715911549912,4.731692380368182e-05
maduro/legitimate,6.354399129885006e-09,6.137516651509184e-13,1.5525246133830106,7.190217678788784e-09,,0.004802436706005439,0.035428370684718796,0.00039719829580302116,0.6651450087553956,0.0299889633433651,0.23915968012668765,2.5252883358619872e-06,5.287889703709278e-05
protests,0.3187795972578678,0.0004249047065954291,1.9956757796635456,0.008522319365081238,,0.01373502227841077,0.018585284023490797,0.004273425509446176,0.00011150576079002174,0.8029138957665116,0.0069723486657885456,0.0005226143802770714,0.00059889567558811
arrests,0.2856262193631177,0.016829653044712286,0.0854867886427944,0.029086052029162014,,0.009233196049973452,0.018743115169195832,7.602651388104616e-06,2.930901237198745e-07,0.07672582342976444,0.7884651267997751,0.001630958896166051,1.4993374057562232e-06
crisis,0.0027902578058951618,0.44581750661918423,4.21476825909153,0.9243770433800492,,0.0346629573431144,6.715472401566763e-18,0.18929104972975874,0.01615907036972491,0.014623188751468296,0.054124942912318466,0.8048018439724268,1.904015435254145e-09
other/anti_socialism,0.1570045293187508,2.0950127109846599e-07,0.9768050424861326,4.286074757719206e-05,,9.412455667150836e-06,9.740653363020884e-16,9.063368451882619e-16,4.177536063001267e-05,0.06550405088148377,0.06742506525145278,4.456679101920553e-09,0.8389300637868271
